391	Defense	5	60	6	12:01:52 AM
392	Pass	6	48	6	12:01:54 AM
393	Spike	9	30	6	12:01:55 AM
394	Spiked	9	30	6	12:01:57 AM
395	Served	2	40	6	12:02:17 AM
396	Defense	9	33	6	12:02:21 AM
397	Spiked	9	64	6	12:02:23 AM
398	Served	2	26	6	12:02:39 AM
399	Defense	5	74	6	12:02:42 AM
400	Pass	4	70	6	12:02:44 AM
401	Spike	6	48	6	12:02:45 AM
402	Spiked	6	41	6	12:02:47 AM
403	Served	2	35	6	12:03:52 AM
404	Defense	9	42	6	12:03:54 AM
405	Pass	6	66	6	12:03:55 AM
406	Spike	18	74	6	12:03:56 AM
407	Served	2	38	6	12:04:14 AM
408	Defense	6	29	6	12:04:17 AM
409	Pass		Side Out 2	6	12:04:18 AM
410	Defense	18	43	6	12:04:35 AM
411	Pass	6	77	6	12:04:37 AM
412	Spike	18	81	6	12:04:38 AM
413	Spiked	18	38	6	12:04:39 AM
414	Served	4	23	6	12:05:01 AM
415	Defense	5	57	6	12:05:06 AM
416	Pass	6	75	6	12:05:07 AM
417	Spike	9	81	6	12:05:09 AM
418	Served	4	42	6	12:05:30 AM
419	Defense	4	12	6	12:05:34 AM
420	Pass	6	75	6	12:05:35 AM
421	Spike	5	76	6	12:05:37 AM
422	Spiked	5	79	6	12:05:38 AM
423	Served	4	33	6	12:06:12 AM
424	Ground		11	6	12:06:16 AM
425	Defense	13	42	6	12:06:32 AM
426	Served	5	38	6	12:07:02 AM
427	Defense	4	23	6	12:07:06 AM
428	Pass	6	67	6	12:07:07 AM
429	Spike	9	80	6	12:07:09 AM
430	Defense	6	79	6	12:07:11 AM
431	Spike	18	74	6	12:07:12 AM
432	Spiked	18	42	6	12:07:14 AM
433	Served	5	Side Out 2	6	12:07:40 AM
434	Defense	4	30	6	12:07:57 AM
435	Pass	6	69	6	12:07:58 AM
436	Spike	18	74	6	12:07:59 AM
437	Spiked	18	Side Out 2	6	12:08:01 AM
438	Served	18	44	6	12:08:32 AM
439	Defense	5	33	6	12:08:36 AM
440	Pass	6	48	6	12:08:38 AM
441	Spike	9	81	6	12:08:40 AM
442	Spiked	9	57	6	12:08:40 AM
443	Served	18	48	6	12:08:54 AM
444	Defense	6	67	6	12:08:59 AM
445	Pass	18	66	6	12:09:00 AM
446	Spike	9	81	6	12:09:02 AM
447	Spiked	9	69	6	12:09:03 AM
448	Served	18	36	6	12:10:08 AM
449	Defense	18	50	6	12:10:14 AM
450	Pass	6	75	6	12:10:15 AM
451	Spike	2	74	6	12:10:17 AM
452	Defense	4	17	6	12:10:18 AM
453	Pass		Side Out 3	6	12:10:20 AM
454	Defense	4	24	6	12:10:41 AM
455	Pass	6	75	6	12:10:42 AM
456	Spike	2	81	6	12:10:44 AM
457	Spiked	2	23	6	12:10:45 AM
458	Defense	5	47	6	12:10:49 AM
459	Pass	13	43	6	12:10:50 AM
460	Spike	9	65	6	12:10:53 AM
461	Spiked	9	58	6	12:10:54 AM
462	Defense	5	58	6	12:10:55 AM
463	Pass	6	77	6	12:10:57 AM
464	Spike	9	74	6	12:10:58 AM
465	Spiked	9	32	6	12:10:59 AM
466	Ground		41	6	12:11:01 AM
467	Defense	5	23	6	12:11:24 AM
